Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
16818,Real Soccer 2009,DS,2008,Sports,Ubisoft  ,Gameloft  ,,,0.05,0.0,,0.0,0.06
16819,Samurai Jack: The Shadow of Aku,PS2,2004,Action,Sega  ,Adrenium  ,,,0.03,0.02,,0.01,0.06
16820,Utawarerumono: Mask of Deception,PS3,2015,Adventure,Aqua Plus  ,Aqua Plus  ,,,,,0.06,,0.06
16821,Kamen Rider Kabuto,PS2,2006,Action,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
16822,Men in Black The Series: Crashdown,PS,2001,Shooter,Infogrames  ,Runecraft  ,,,0.03,0.02,,0.0,0.06
16823,Need for Speed: Shift,PC,2009,Racing,Electronic Arts  ,Slightly Mad Studios  ,8.3,,,0.05,,0.01,0.06
16824,Zero Divide,PS,1995,Fighting,Time Warner Interactive  ,Zoom Inc.  ,,,0.03,0.02,,0.0,0.06
16825,FIFA Street,GC,2005,Sports,EA Sports BIG   ,EA Canada  ,,,0.04,0.01,,0.0,0.06
16826,Tsugunai: Atonement,PS2,2001,Role-Playing,Atlus  ,Cattle Call  ,,,0.02,0.01,0.02,0.0,0.06
16827,Rugby World Cup 2015,PS4,2015,Sports,Big Ben Interactive  ,HB Studios  ,,,,0.05,,0.01,0.06
16828,Lost Kingdoms II,GC,2003,Role-Playing,Activision  ,From Software  ,6.6,,0.04,0.01,,0.0,0.06
16829,Aggressive Inline,GC,2002,Sports,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",8.9,,0.04,0.01,,0.0,0.06
16830,Blade Dancer: Lineage of Light,PSP,2006,Role-Playing,Nippon Ichi Software  ,Hit Maker  ,,,0.05,0.0,,0.0,0.06
16831,Monkey Island: Special Edition Collection,X360,2011,Adventure,Activision  ,LucasArts  ,,,,0.05,,0.01,0.06
16832,One Piece: Pirate Warriors 3 - Deluxe Edition,NS,2018,Action,Bandai Namco Entertainment  ,Omega Force  ,8.5,,,0.01,0.05,0.0,0.06
16833,Rugby World Cup 2015,PS3,2015,Sports,Big Ben Interactive  ,HB Studios  ,,,,0.05,,0.01,0.06
16834,Viewtiful Joe: Red Hot Rumble,GC,2005,Action,Capcom  ,Clover Studio  ,6.2,,0.04,0.01,,0.0,0.06
16835,Kaite Shabette Hajimeyou! Monster Farm DS,DS,2007,Role-Playing,Tecmo  ,Tecmo  ,,,,,0.06,,0.06
16836,Exist Archive: The Other Side of the Sky,PS4,2016,Role-Playing,Aksys Games  ,tri-Ace  ,,,0.02,,0.03,0.0,0.06
16837,Pro Yakyuu Spirits 2012,PSV,2012,Shooter,Konami Digital Entertainment  ,Konami  ,,,,,0.06,,0.06
16838,King's Quest: The Complete Collection,PS4,2016,Adventure,Activision  ,The Odd Gentlemen  ,,,0.05,,,0.01,0.06
16839,Generation of Chaos,PSP,2006,Role-Playing,NIS America  ,Neverland  ,5.9,,0.05,0.0,,0.0,0.06
16840,Sine Mora EX,PS4,2017,Action,THQ Nordic  ,Digital Reality  ,,,0.03,0.01,,0.01,0.06
16841,Broken Sword II: The Smoking Mirror,PS,1999,Adventure,Crave Entertainment  ,Revolution Software  ,7.3,,0.03,0.02,,0.0,0.06
16842,SD Gundam G Generation Wars,Wii,2009,Strategy,Bandai  ,Tom Create  ,,,,,0.06,,0.06
16843,Zoo Tycoon 2,PC,2004,Strategy,Microsoft Game Studios  ,Blue Fang Games  ,7.2,,,0.05,,0.01,0.06
16844,Enemy Front,PS3,2014,Shooter,City Interactive  ,City Interactive  ,,,0.01,0.04,,0.01,0.06
16845,Pump It Up: Exceed,PS2,2005,Misc,Mastiff  ,Andamiro U.S.A. Corp.  ,,,0.03,0.02,,0.01,0.06
16846,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,2012,Misc,Idea Factory  ,Idea Factory  ,,,,,0.06,,0.06
16847,Scurge: Hive,DS,2006,Action,SouthPeak Interactive  ,Unknown  ,,,0.05,0.0,,0.0,0.06
16848,Wreckless: ThE YaKuza MisSiOns,GC,2002,Racing,Activision  ,Stealth Studios  ,6.4,,0.04,0.01,,0.0,0.06
16849,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,2007,Misc,D3 Publisher  ,Bisty  ,,,,,0.06,,0.06
16850,TOCA Race Driver 2: Ultimate Racing Simulator,PS2,2004,Racing,Codemasters  ,Codemasters  ,,,0.03,0.02,,0.01,0.06
16851,Dr. Muto,XB,2002,Platform,Midway Games  ,Midway  ,,,0.04,0.01,,0.0,0.06
